 station,date,salinity,temperature
DH,2005-9-23,33.02,17.17
DH,2005-6-3,33.93,17.70
OS30,2005-6-25,30.55,18.98
NW1,2005-3-16,28.91,18.03
DO,2005-9-10,31.60,18.51
DO,2005-3-22,28.40,17.94
NW2,2005-1-25,29.81,15.63
OS30,2005-8-23,33.81,17.27
NW1,2005-4-21,29.06,16.07
NW1,2005-11-3,29.09,15.40
OS30,2005-1-17,32.75,19.43
OS30,2005-6-20,28.62,18.12
DH,2005-9-25,28.03,18.58
DO,2005-10-10,28.18,16.58
OS30,2005-8-23,31.06,15.10
DH,2005-4-12,29.22,19.49
DH,2005-1-7,33.85,16.26
DH,2005-4-23,31.81,15.23
NW2,2005-5-15,33.51,17.31
OS30,2005-3-6,33.51,18.39
OS30,2005-6-27,29.41,17.44
NW1,2005-7-6,31.42,19.98
DO,2005-12-18,32.83,16.02
DO,2005-9-2,29.75,15.72
NW1,2005-2-3,32.94,16.63
DH,2005-2-3,32.91,19.76
OS30,2005-5-28,30.94,19.99
DH,2005-7-3,31.90,15.49
DH,2005-10-23,32.84,15.85
OS30,2005-10-9,29.01,15.69
DO,2005-10-3,32.04,16.15
OS30,2005-11-20,31.03,15.11
NW2,2005-1-4,29.74,16.58
OS30,2005-3-2,28.42,17.02
NW2,2005-6-18,33.70,15.54
DH,2005-6-1,33.99,16.23
NW1,2005-10-16,29.11,16.54
NW1,2005-2-23,31.61,19.73
NW1,2005-4-15,28.24,19.84
NW1,2005-7-16,32.77,17.69
NW2,2005-10-18,33.72,16.66
DO,2005-10-19,29.31,19.27
DO,2005-9-20,32.38,16.98
DH,2005-4-26,31.30,15.13
DH,2005-8-21,29.90,18.47
DO,2005-6-18,28.30,16.99
OS30,2005-11-8,29.93,16.62
NW1,2005-11-25,33.56,15.36
OS30,2005-7-20,30.31,18.41
OS30,2005-12-8,29.45,19.76
DH,2005-4-11,28.73,19.17
DH,2005-5-23,32.17,17.72
NW1,2005-1-8,32.01,19.08
NW2,2005-1-3,33.78,15.99
OS30,2005-11-23,29.99,15.02
NW1,2005-5-26,30.29,16.43
DO,2005-3-8,30.30,16.84
DH,2005-5-21,29.32,15.87
NW1,2005-5-26,31.61,15.45
OS30,2005-9-21,32.79,16.79
DO,2005-1-16,29.15,15.50
NW1,2005-3-19,31.54,15.05
DH,2005-4-6,29.65,18.78
OS30,2005-9-3,29.96,16.51
DH,2005-10-6,31.32,19.90
NW2,2005-10-26,33.21,15.85
OS30,2005-7-13,31.26,16.28
DO,2005-11-4,29.90,17.29
OS30,2005-10-13,28.60,16.88
NW2,2005-12-1,31.84,19.06
DO,2005-3-26,30.90,19.77
NW1,2005-9-11,29.84,16.98
NW2,2005-1-20,29.80,17.05
DO,2005-11-16,31.29,16.64
OS30,2005-11-21,29.52,18.49
DH,2005-3-1,30.01,16.95
NW1,2005-8-27,29.37,19.74
OS30,2005-12-10,28.46,18.45
DO,2005-9-2,29.92,18.57
NW1,2005-1-3,33.85,18.31
NW2,2005-1-19,33.74,15.09
OS30,2005-9-13,31.81,15.44
DH,2005-6-18,32.22,15.86
DH,2005-1-28,32.33,19.08
DH,2005-2-13,30.57,16.38
NW2,2005-3-7,33.09,19.43
NW1,2005-5-28,33.57,19.38
DH,2005-3-20,28.16,16.61
NW1,2005-6-1,29.28,17.72
NW1,2005-5-2,31.42,17.59
DO,2005-3-24,32.47,15.99
NW1,2005-7-1,29.17,16.11
NW2,2005-1-3,31.19,16.46
DH,2005-8-2,32.47,15.66
OS30,2005-10-2,29.68,15.83
DH,2005-1-8,30.15,16.23
NW2,2005-4-2,33.73,16.49
DO,2005-6-17,32.49,16.75
NW2,2005-8-9,32.58,18.08
DH,2005-11-16,28.43,18.33
OS30,2005-2-16,31.07,16.23
NW2,2005-6-24,28.70,17.74
NW1,2005-2-14,33.82,15.52
NW1,2005-10-2,28.72,18.31
DH,2005-1-12,31.72,17.50
DO,2005-7-15,32.41,19.87
DH,2005-9-20,31.10,15.21
DO,2005-5-11,31.26,17.25
OS30,2005-11-6,28.71,19.81
NW2,2005-10-27,32.78,18.24
DH,2005-11-24,28.83,15.12
NW2,2005-4-11,33.88,16.02
OS30,2005-4-18,32.76,15.79
NW2,2005-11-11,31.90,15.03
NW2,2005-12-20,33.73,16.83
NW2,2005-2-4,29.33,19.87
NW1,2005-4-10,28.82,16.74
DH,2005-4-20,28.46,15.15
DH,2005-9-2,29.31,15.70
DO,2005-8-5,31.12,17.36
NW1,2005-12-27,32.96,15.83
NW1,2005-1-20,30.99,16.01
NW2,2005-2-19,28.87,16.87
DO,2005-8-22,28.84,16.66
DH,2005-10-27,28.99,15.14
NW2,2005-1-10,29.98,18.44
NW2,2005-5-7,33.80,17.24
OS30,2005-9-28,32.62,16.91
DH,2005-9-7,32.65,18.55
NW1,2005-6-17,28.94,19.76
DO,2005-11-4,33.21,19.66
DH,2005-4-23,31.65,15.76
OS30,2005-12-24,28.23,18.77
DH,2005-12-23,33.49,19.38
OS30,2005-11-16,29.04,18.43
NW1,2005-1-3,28.85,17.55
NW1,2005-10-22,28.36,16.58
NW1,2005-8-9,33.47,19.37
NW2,2005-4-14,33.49,19.78
OS30,2005-10-19,32.03,18.61
OS30,2005-2-22,29.84,15.19
NW2,2005-1-2,31.76,17.56
NW2,2005-12-14,30.74,15.92
DO,2005-9-28,31.63,19.83
NW2,2005-9-11,31.76,15.16
DO,2005-4-20,31.63,17.62
NW2,2005-6-19,29.82,17.50
DO,2005-5-27,28.25,19.36
DH,2005-6-25,29.75,17.78
NW2,2005-12-8,32.36,16.13
OS30,2005-6-7,28.76,15.93
OS30,2005-4-24,31.36,15.31
DO,2005-11-2,31.10,16.57
OS30,2005-2-16,33.83,17.73
DH,2005-4-4,29.80,16.92
NW2,2005-5-28,29.10,17.16
DH,2005-9-16,29.77,19.97
DH,2005-3-7,31.54,15.56
NW1,2005-8-15,33.70,15.39
NW2,2005-1-8,31.74,18.09
OS30,2005-1-1,33.06,19.30
NW1,2005-2-3,30.67,16.81
NW1,2005-3-9,30.88,18.21
DH,2005-11-24,31.06,18.36
OS30,2005-9-27,31.91,18.76
DO,2005-1-1,33.24,15.33
OS30,2005-9-21,32.28,19.54
DO,2005-5-8,30.47,19.34
DH,2005-2-7,30.84,19.50
OS30,2005-3-20,29.05,18.11
NW2,2005-2-19,31.30,19.40
DH,2005-12-9,32.05,15.60
NW1,2005-11-23,33.19,19.10
NW2,2005-6-1,33.78,17.46
DO,2005-5-18,33.58,18.94
OS30,2005-6-21,32.78,17.90
NW2,2005-4-28,29.71,17.90
NW2,2005-10-23,31.93,16.01
NW2,2005-8-9,28.86,19.59
NW1,2005-3-19,30.72,19.53
NW2,2005-10-28,29.53,18.56
DO,2005-12-7,33.07,15.07
NW1,2005-11-9,28.09,18.38
OS30,2005-10-18,32.59,18.31
DO,2005-6-18,32.30,19.53
DH,2005-7-22,31.53,16.00
DH,2005-3-10,30.19,19.17
OS30,2005-11-6,33.12,17.30
NW1,2005-9-25,30.13,16.12
DH,2005-12-17,31.19,17.89
NW1,2005-10-2,30.23,18.89
DO,2005-3-8,28.71,18.35
NW2,2005-6-1,28.38,16.34
DO,2005-1-5,33.05,16.67
NW2,2005-10-5,28.49,17.95
NW2,2005-6-15,31.26,18.11
OS30,2005-10-12,31.51,18.98
NW2,2005-2-19,30.43,19.83
NW2,2005-9-1,33.37,17.43
DO,2005-4-14,31.91,19.45
OS30,2005-2-21,32.46,17.74
DO,2005-1-3,30.55,17.89
DH,2005-7-1,32.37,15.23
OS30,2005-6-14,32.98,18.95
NW1,2005-12-11,33.39,19.47
DH,2005-7-5,30.71,19.50
NW2,2005-8-18,33.37,16.98
NW1,2005-5-23,33.32,18.91
NW1,2005-4-12,30.74,19.79
OS30,2005-3-21,28.43,17.85
OS30,2005-8-26,30.86,16.83
NW2,2005-5-27,32.65,18.83
DH,2005-5-14,33.84,17.50
DO,2005-11-25,31.40,17.00
NW2,2005-4-6,33.66,16.81
NW1,2005-1-27,29.67,19.20
NW1,2005-7-22,29.09,18.63
DH,2005-12-2,30.71,19.54
OS30,2005-4-5,30.92,19.23
DO,2005-2-6,28.13,18.04
NW1,2005-11-23,33.74,18.38
OS30,2005-10-11,29.53,19.11
DO,2005-8-7,30.35,15.11
DO,2005-3-8,29.52,19.21
DO,2005-11-21,28.15,16.13
NW1,2005-9-20,31.85,17.27
OS30,2005-9-19,33.20,18.52
DO,2005-8-18,32.60,17.16
DO,2005-10-23,30.94,15.62
OS30,2005-4-12,29.40,19.01
NW2,2005-12-8,32.91,17.11
NW1,2005-5-4,31.79,16.21
DH,2005-7-18,33.38,18.25
DO,2005-4-1,33.20,19.50
DH,2005-10-5,29.61,15.10
NW2,2005-12-22,32.77,18.25
NW2,2005-8-19,28.75,18.28
NW1,2005-7-10,33.26,19.03
NW2,2005-7-19,33.23,17.94
NW1,2005-3-25,31.08,16.17
NW2,2005-11-27,28.35,17.84
NW1,2005-9-8,31.74,16.08
NW1,2005-4-12,33.03,15.39
OS30,2005-7-20,32.26,15.08
OS30,2005-1-24,30.33,16.51
NW2,2005-4-24,31.92,18.65
NW1,2005-5-11,28.92,17.12
DH,2005-5-28,29.33,16.32
